1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862
2,Jumanji (1995),Adventure|Children|Fantasy,113497,8844
3,Grumpier Old Men (1995),Comedy|Romance,113228,15602
4,Waiting to Exhale (1995),Comedy|Drama|Romance,114885,31357
5,Father of the Bride Part II (1995),Comedy,113041,11862
6,Heat (1995),Action|Crime|Thriller,113277,949
7,Sabrina (1995),Comedy|Romance,114319,11860
8,Tom and Huck (1995),Adventure|Children,112302,45325
9,Sudden Death (1995),Action,114576,9091
10,GoldenEye (1995),Action|Adventure|Thriller,113189,710
11,"American President, The (1995)",Comedy|Drama|Romance,112346,9087
12,Dracula: Dead and Loving It (1995),Comedy|Horror,112896,12110
13,Balto (1995),Adventure|Animation|Children,112453,21032
14,Nixon (1995),Drama,113987,10858
15,Cutthroat Island (1995),Action|Adventure|Romance,112760,1408
16,Casino (1995),Crime|Drama,112641,524
17,Sense and Sensibility (1995),Drama|Romance,114388,4584
18,Four Rooms (1995),Comedy,113101,5
19,Ace Ventura: When Nature Calls (1995),Comedy,112281,9273
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,113845,11517
21,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710
23,Assassins (1995),Action|Crime|Thriller,112401,9691
24,Powder (1995),Drama|Sci-Fi,114168,12665
25,Leaving Las Vegas (1995),Drama|Romance,113627,451
26,Othello (1995),Drama,114057,16420
27,Now and Then (1995),Children|Drama,114011,9263
28,Persuasion (1995),Drama|Romance,114117,17015
29,"City of Lost Children, The (Cit� des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,112682,902
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557
31,Dangerous Minds (1995),Drama,112792,9909
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,114746,63
34,Babe (1995),Children|Drama,112431,9598
35,Carrington (1995),Drama|Romance,112637,47018
36,Dead Man Walking (1995),Crime|Drama,112818,687
37,Across the Sea of Time (1995),Documentary|IMAX,112286,139405
38,It Takes Two (1995),Children|Comedy,113442,33689
39,Clueless (1995),Comedy|Romance,112697,9603
40,"Cry, the Beloved Country (1995)",Drama,112749,34615
41,Richard III (1995),Drama|War,114279,31174
42,Dead Presidents (1995),Action|Crime|Drama,112819,11443
43,Restoration (1995),Drama,114272,35196
44,Mortal Kombat (1995),Action|Adventure|Fantasy,113855,9312
45,To Die For (1995),Comedy|Drama|Thriller,114681,577
46,How to Make an American Quilt (1995),Drama|Romance,113347,11861
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,114369,807
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,114148,10530
49,When Night Is Falling (1995),Drama|Romance,114916,8391
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448
53,Lamerica (1994),Adventure|Drama,110299,49133
54,"Big Green, The (1995)",Children|Comedy,112499,26441
55,Georgia (1995),Drama,113158,97406
57,Home for the Holidays (1995),Drama,113321,9089
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,110877,11010
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,112714,99040
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,113419,11359
61,Eye for an Eye (1996),Drama|Thriller,116260,17182
62,Mr. Holland's Opus (1995),Drama,113862,2054
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,116126,10607
64,Two if by Sea (1996),Comedy|Romance,118002,19760
65,Bio-Dome (1996),Comedy,115683,9536
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,116839,11525
68,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482
69,Friday (1995),Comedy,113118,10634
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755
71,Fair Game (1995),Action,113010,11859
72,Kicking and Screaming (1995),Comedy|Drama,113537,28387
73,"Mis�rables, Les (1995)",Drama|War,113828,48750
74,Bed of Roses (1996),Drama|Romance,115644,20927
76,Screamers (1995),Action|Sci-Fi|Thriller,114367,9102
77,Nico Icon (1995),Documentary,113973,124626
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,112744,27526
79,"Juror, The (1996)",Drama|Thriller,116731,9623
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,112445,46785
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,114660,400
82,Antonia's Line (Antonia) (1995),Comedy|Drama,112379,880
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,114039,146599
84,Last Summer in the Hamptons (1995),Comedy|Drama,113612,188588
85,Angels and Insects (1995),Drama|Romance,112365,8447
86,White Squall (1996),Action|Adventure|Drama,118158,10534
87,Dunston Checks In (1996),Children|Comedy,116151,17414
88,Black Sheep (1996),Comedy,115697,13997
89,Nick of Time (1995),Action|Thriller,113972,2086
92,Mary Reilly (1996),Drama|Horror|Thriller,117002,9095
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,114825,12158
94,Beautiful Girls (1996),Comedy|Drama|Romance,115639,9283
95,Broken Arrow (1996),Action|Adventure|Thriller,115759,9208
96,In the Bleak Midwinter (1995),Comedy|Drama,113403,40154
97,"Hate (Haine, La) (1995)",Crime|Drama,113247,406
98,Shopping (1994),Action|Thriller,111173,45549
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,113283,63076
100,City Hall (1996),Drama|Thriller,115907,11062
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,115734,13685
102,Mr. Wrong (1996),Comedy,117102,47475
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,118040,2045
104,Happy Gilmore (1996),Comedy,116483,9614
105,"Bridges of Madison County, The (1995)",Drama|Romance,112579,688
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874
108,Catwalk (1996),Documentary,112646,89333
110,Braveheart (1995),Action|Drama|War,112573,197
111,Taxi Driver (1976),Crime|Drama|Thriller,75314,103
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,113326,33542
113,Before and After (1996),Drama|Mystery,115645,43566
114,Margaret's Museum (1995),Drama,113774,71754
116,Anne Frank Remembered (1995),Documentary,112373,51352
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,115033,16934
118,If Lucy Fell (1996),Comedy|Romance,116606,10324
119,"Steal Big, Steal Little (1995)",Comedy,114536,78406
121,"Boys of St. Vincent, The (1992)",Drama,106473,32119
122,Boomerang (1992),Comedy|Romance,103859,11066
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,109424,11104
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,114808,37975
125,Flirting With Disaster (1996),Comedy,116324,2074
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,110647,27793
129,Pie in the Sky (1996),Comedy|Romance,114131,110972
130,Angela (1995),Drama,112364,32622
131,Frankie Starlight (1995),Drama|Romance,113107,73067
132,Jade (1995),Thriller,113451,11863
135,Down Periscope (1996),Comedy,116130,9101
137,Man of the Year (1995),Documentary,113756,5757
140,Up Close and Personal (1996),Drama|Romance,118055,9302
141,"Birdcage, The (1996)",Comedy,115685,11000
144,"Brothers McMullen, The (1995)",Comedy,112585,16388
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,112342,30765
147,"Basketball Diaries, The (1995)",Drama,112461,10474
148,"Awfully Big Adventure, An (1995)",Drama,112427,22279
149,Amateur (1994),Crime|Drama|Thriller,109093,30157
150,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568
151,Rob Roy (1995),Action|Drama|Romance|War,114287,11780
152,"Addiction, The (1995)",Drama|Horror,112288,34996
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414
154,Beauty of the Day (Belle de jour) (1967),Drama,61395,649
155,Beyond Rangoon (1995),Adventure|Drama|War,112495,1873
156,Blue in the Face (1995),Comedy|Drama,112541,5894
157,Canadian Bacon (1995),Comedy|War,109370,1775
158,Casper (1995),Adventure|Children,112642,8839
159,Clockers (1995),Crime|Drama|Mystery,112688,20649
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,112715,10329
161,Crimson Tide (1995),Drama|Thriller|War,112740,8963
162,Crumb (1994),Documentary,109508,26564
163,Desperado (1995),Action|Romance|Western,112851,8068
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,112857,8512
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,112864,1572
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,112887,13552
167,Feast of July (1995),Drama,113044,259209
168,First Knight (1995),Action|Drama|Romance,113071,6520
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114,9073
170,Hackers (1995),Action|Adventure|Crime|Thriller,113243,10428
171,Jeffrey (1995),Comedy|Drama,113464,17447
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,113481,9886
173,Judge Dredd (1995),Action|Crime|Sci-Fi,113492,9482
174,Jury Duty (1995),Comedy,113500,19326
175,Kids (1995),Drama,113540,9344
176,Living in Oblivion (1995),Comedy,113677,9071
177,Lord of Illusions (1995),Horror,113690,8973
178,Love & Human Remains (1993),Comedy|Drama,107447,15730
179,Mad Love (1995),Drama|Romance,113729,47608
180,Mallrats (1995),Comedy|Romance,113749,2293
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,113820,9070
183,Mute Witness (1994),Comedy|Horror|Thriller,110604,48787
184,Nadja (1994),Drama,110620,34574
185,"Net, The (1995)",Action|Crime|Thriller,113957,1642
186,Nine Months (1995),Comedy|Romance,113986,11472
187,Party Girl (1995),Comedy,114095,36196
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,114194,11980
189,Reckless (1995),Comedy|Fantasy,114241,58372
190,Safe (1995),Thriller,114323,32646
191,"Scarlet Letter, The (1995)",Drama|Romance,114345,10533
193,Showgirls (1995),Drama,114436,10802
194,Smoke (1995),Comedy|Drama,114478,10149
195,Something to Talk About (1995),Comedy|Drama|Romance,114496,18402
196,Species (1995),Horror|Sci-Fi,114508,9348
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,58450,5967
200,"Tie That Binds, The (1995)",Thriller,114666,79593
201,Three Wishes (1995),Drama|Fantasy,114663,47939
202,Total Eclipse (1995),Drama|Romance,114702,36834
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,114682,9090
204,Under Siege 2: Dark Territory (1995),Action,114781,3512
205,Unstrung Heroes (1995),Comedy|Drama,114798,52856
206,Unzipped (1995),Documentary,114805,77350
207,"Walk in the Clouds, A (1995)",Drama|Romance,114887,9560
208,Waterworld (1995),Action|Adventure|Sci-Fi,114898,9804
209,White Man's Burden (1995),Drama,114928,31611
211,"Browning Version, The (1994)",Drama,109340,49805
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,111579,50797
